id,name,brand,category,parent,group,tags,price,description
40,Quilted Wool Coat,Gucci,Coat,Outerwear,Women's Fashion,"Luxury, Statement Piece",200.0,"An exquisitely crafted coat for the discerning woman. The quilted wool design provides exceptional warmth while creating a sophisticated, textured look of pure luxury."
41,Softshell Jacket,Nike,Softshell Jacket,Outerwear,Men's Fashion,"Athleisure, Lifestyle",90.0,"The perfect versatile layer for your active lifestyle. This Nike softshell jacket is lightweight, water-resistant, and breathable, ideal for running, hiking, or everyday wear."
42,Kids Denim Jacket,H&M,Denim Jacket,Outerwear,Kid's Fashion,"Kids Everyday, Casual",40.0,"A cool and classic wardrobe staple for any kid. This durable denim jacket is perfect for layering over tees and hoodies, adding a touch of timeless style to their look."
43,Lightweight Trench Coat,Zara,Trench Coat,Outerwear,Women's Fashion,"Business Casual, Modern Workwear",140.0,"An iconic silhouette, redefined for modern elegance. This lightweight trench coat offers a sophisticated layering piece, perfect for transitional weather and timeless style."
44,Kids Utility Coat,Routine,Utility Coat,Outerwear,Kid's Fashion,"Seasonal, Weather-Ready",55.0,"A practical and stylish coat for all their adventures. Featuring multiple pockets and a durable design, this utility coat is ready for exploring the great outdoors."
45,Recycled Puffer Vest,Uniqlo,Vest,Outerwear,Men's Fashion,"Sustainable, Core Essential",80.0,"A smart, sustainable layering piece. This puffer vest is made from recycled materials and offers core warmth without restricting movement, ideal for transitional seasons."
46,Classic Leather Boots,Zara,Boots,Shoes,Women's Fashion,"Retro/Heritage Style, Vintage",120.0,"Step out in timeless style with these classic leather boots. Their versatile design and durable construction make them a perfect choice for adding a polished, retro touch to any outfit."
47,Kids Velcro Sneakers,Biti’s,Sneakers,Shoes,Kid's Fashion,"Casual, Kids Everyday",35.0,"Easy on, easy off! These sneakers feature convenient velcro straps, making them perfect for kids who are always on the move. A practical and stylish choice for everyday wear."
48,Hooded Windbreaker,Uniqlo,Windbreaker,Outerwear,Men's Fashion,"Seasonal, Weather-Ready",80.0,Stay protected from the wind and light rain with this functional hooded windbreaker. Its lightweight design makes it easy to pack and perfect for unpredictable weather.
49,Dunk Low Retro,Nike,Sneakers,Shoes,Men's Fashion,"Urban Essential, Streetwear",110.0,"A true streetwear icon. The Nike Dunk Low Retro returns with its classic color-blocking and crisp leather overlays, delivering timeless court-to-street style."
50,Air Force 1,Nike,Sneakers,Shoes,Women's Fashion,"Streetwear, Urban Essential",100.0,The legend lives on in the Nike Air Force 1. This iconic sneaker combines timeless court style with premium materials and the signature Air-Sole unit for all-day comfort.
51,Classic Canvas Sneakers,Puma,Sneakers,Shoes,Men's Fashion,"Everyday Essential, Casual",70.0,"Effortless style for your everyday adventures. These classic canvas sneakers offer a lightweight feel and a timeless, versatile look that pairs with virtually anything."
52,Kids Sport Sandals,Biti’s,Sandals,Shoes,Kid's Fashion,"Summer & Swim, Seasonal",30.0,"Perfect for summer adventures! These sport sandals provide a secure fit and a durable, non-slip sole, ideal for active kids at the beach, park, or by the pool."
53,Recycled Flip-Flops,H&M,Flip-Flops,Shoes,Women's Fashion,"Core Essential, Sustainable",25.0,"Step into summer sustainably. These comfortable flip-flops are made from recycled rubber, offering a simple, eco-friendly choice for the beach or casual days."
54,Leather Loafers,Zara,Loafers,Shoes,Men's Fashion,"Business Casual, Modern Workwear",95.0,Add a touch of sophistication to your look with these classic leather loafers. Their timeless design and slip-on style make them perfect for business casual or smart weekend wear.
55,Kids Beach Sandals,Routine,Sandals,Shoes,Kid's Fashion,"Seasonal, Summer & Swim",28.0,Get them ready for sun and sand! These lightweight and durable beach sandals are easy to clean and perfect for all their coastal adventures. A summer essential.
56,NMD_R1 Primeblue,Adidas,Sneakers,Shoes,Women's Fashion,"Sustainable, Core Essential",120.0,"A fusion of street style and sustainability. The NMD_R1 Primeblue is made with high-performance recycled material, featuring responsive Boost cushioning for incredible comfort."
57,Kids Coastal Flip-Flops,Biti’s,Flip-Flops,Shoes,Kid's Fashion,"Seasonal, Summer & Swim",30.0,"Easy, breezy footwear for sunny days. These coastal flip-flops are lightweight and comfortable, perfect for a quick trip to the beach or pool."
58,Recycled Cotton Hoodie,H&M,Hoodie,Outerwear,Men's Fashion,"Sustainable, Core Essential",60.0,"Your go-to for casual comfort. This hoodie is made from soft, recycled cotton, offering a relaxed fit and cozy warmth. A sustainable choice for your everyday wardrobe."
59,Biti’s Kids Active Sneakers,Biti’s,Sneakers,Shoes,Kid's Fashion,"Athleisure, Lifestyle",40.0,"Fuel their active lifestyle with these durable and supportive sneakers. Designed for comfort and performance, they're perfect for sports, school, and endless play."
60,Organic Cotton T-shirt,Uniqlo,T-shirt,Shirts,Women's Fashion,"Casual, Everyday Essential",35.0,"A wardrobe staple, crafted from soft and breathable organic cotton. Its simple, versatile design makes it the perfect foundation for countless casual outfits."
61,Linen Blend Shirt,Routine,Button-up Shirt,Shirts,Men's Fashion,"Business Casual, Modern Workwear",65.0,Stay effortlessly cool and stylish in this linen-blend shirt. Its breathable fabric and relaxed fit make it an ideal choice for warm weather and smart-casual occasions.
62,Kids Graphic Tee,H&M,T-shirt,Shirts,Kid's Fashion,"Casual, Kids Everyday",25.0,"Add a splash of fun to their wardrobe with this vibrant graphic tee. Made from soft, comfortable cotton, it's perfect for expressing their personality every day."
63,Recycled Cotton Dress,H&M,Dress,Dresses,Women's Fashion,"Core Essential, Sustainable",50.0,"Effortless, everyday style with a sustainable focus. This comfortable dress is made from soft recycled cotton, featuring a simple silhouette for easy, versatile wear."
64,Vintage Washed Jeans,Zara,Jeans,Pants,Women's Fashion,"Vintage, Retro/Heritage Style",90.0,"Capture a perfectly worn-in look with these vintage washed jeans. The soft, faded denim provides a comfortable feel and a cool, retro aesthetic for effortless style."
65,Kids Play Shorts,Routine,Shorts,Pants,Kid's Fashion,"Kids Everyday, Casual",28.0,"Ready for any adventure! These durable and comfortable play shorts are made from soft cotton, providing the freedom of movement needed for a day full of fun."
66,Wool Blend Trousers,Uniqlo,Dress Pants,Pants,Men's Fashion,"Modern Workwear, Business Casual",85.0,"A sophisticated choice for the modern man. These trousers are crafted from a refined wool blend, offering a sharp, tailored look for business and formal settings."
67,Kids Softshell Jacket,Uniqlo,Softshell Jacket,Outerwear,Kid's Fashion,"Seasonal, Weather-Ready",48.0,"A versatile layer for changing weather. This softshell jacket is wind-resistant and water-repellent, keeping your child comfortable and protected during outdoor activities."
68,Waterproof Raincoat,Zara,Raincoat,Outerwear,Women's Fashion,"Weather-Ready, Seasonal",110.0,"Don't let the rain stop you. This fully waterproof raincoat offers complete protection from the elements, featuring a sleek design for a stylish and practical outerwear solution."
69,Double-G Leather Belt,Gucci,Belt,Accessories,Men's Fashion,"Luxury, Statement Piece",150.0,"The perfect finishing touch of luxury. This belt is crafted from premium leather and features the iconic Double-G buckle, instantly elevating any outfit."
70,Alphabounce Coastal Runner,Adidas,Running Shoes,Shoes,Men's Fashion,"Athleisure, Performance",110.0,"Engineered for seasonal runs by the coast. The Alphabounce offers a supportive fit and cushioned ride, with a design optimized for performance in warmer climates."
71,Biti’s AquaPulse Swim Shoes,Biti’s,Water Shoes,Shoes,Kid's Fashion,"Seasonal, Summer & Swim",30.0,"Protect their feet in and out of the water. These swim shoes offer a secure fit and a quick-drying design with a non-slip sole, perfect for the pool or rocky shores."
72,GG Floral Midi Dress,Gucci,Midi Dress,Dresses,Women's Fashion,"Luxury, Statement Piece",195.0,"An expression of pure romance and luxury. This stunning midi dress features a delicate floral print on flowing chiffon, with subtle GG details for a signature Gucci touch."
73,Kids Swim Shorts,H&M,Swim Shorts,Swimwear,Kid's Fashion,"Seasonal, Summer & Swim",30.0,"Make a splash in these fun and comfortable swim shorts. Made from quick-drying fabric, they're perfect for a day of fun at the beach or pool."
74,Vintage Striped Polo,Zara,Polo Shirt,Shirts,Men's Fashion,"Vintage, Retro/Heritage Style",70.0,"A nod to classic sportswear style. This polo features timeless stripes and a comfortable cotton construction, offering a cool, retro vibe for your casual wardrobe."
75,Kids Sun Protection Rash Guard,Uniqlo,Rash Guard,Swimwear,Kid's Fashion,"Seasonal, Summer & Swim",35.0,"Keep them safe in the sun with this UPF 50+ rash guard. Its lightweight, quick-drying fabric provides excellent sun protection for long days of water play."
76,Organic Cotton Leggings,Routine,Leggings,Pants,Women's Fashion,"Casual, Everyday Essential",30.0,"The ultimate in everyday comfort. These leggings are made from soft, breathable organic cotton with a touch of stretch, perfect for lounging or light activities."
77,Smart Casual Shirt,Zara,Button-up Shirt,Shirts,Men's Fashion,"Business Casual, Modern Workwear",80.0,"Effortlessly bridge the gap between smart and casual. This versatile button-up shirt features a clean design and comfortable fabric, ideal for a relaxed office or weekend outings."
78,Kids Active Shorts,H&M,Shorts,Pants,Kid's Fashion,"Lifestyle, Athleisure",28.0,"Designed for movement, these active shorts are made from lightweight, breathable polyester. They're perfect for sports, P.E. class, or any high-energy activity."
79,Floral Wrap Maxi Dress,Zara,Maxi Dress,Dresses,Women's Fashion,"Seasonal, Summer & Swim",95.0,A beautifully flowing maxi dress perfect for sunny days. The wrap design and vibrant floral print create a flattering and effortlessly romantic silhouette.
80,Kids Cartoon Swimsuit,H&M,Swimsuit,Swimwear,Kid's Fashion,"Summer & Swim, Seasonal",32.0,"They'll love swimming in this adorable cartoon swimsuit. The fun design and comfortable, stretchy fabric make it a hit for pool parties and beach days."
81,Recycled Polyester Joggers,Uniqlo,Joggers,Pants,Men's Fashion,"Core Essential, Sustainable",55.0,"Comfortable, stylish, and eco-conscious. These joggers are crafted from soft recycled polyester, perfect for a relaxed yet put-together look for lounging or running errands."
82,Vintage Denim Jacket,Zara,Denim Jacket,Outerwear,Men's Fashion,"Vintage, Retro/Heritage Style",100.0,"A classic with authentic, worn-in character. This vintage-style denim jacket adds a rugged, timeless layer to any man's wardrobe, perfect for a cool, casual look."
83,AIRism Performance Crop Top,Uniqlo,Crop Top,Shirts,Women's Fashion,"Performance, Athleisure",45.0,"Stay cool and focused during your workout. The AIRism crop top is designed with moisture-wicking technology and a sleek, supportive fit for ultimate performance."
84,Kids Cotton Overalls,Routine,Overalls,Pants,Kid's Fashion,"Casual, Kids Everyday",40.0,"An adorable and practical one-piece outfit. These classic cotton overalls are durable enough for playtime and offer a cute, timeless look for any casual day."
85,Wool Blend Cardigan,Zara,Cardigan,Outerwear,Women's Fashion,"Business Casual, Modern Workwear",85.0,A cozy and sophisticated layering piece. This soft wool-blend cardigan adds warmth and elegance to your business casual or weekend outfits.
86,Kids Sun Hat,H&M,Cap,Accessories,Kid's Fashion,"Seasonal, Summer & Swim",18.0,Protect your little one from the sun in style. This lightweight cotton sun hat provides ample shade and a comfortable fit for all their outdoor adventures.
87,Double-G Leather Sandals,Gucci,Sandals,Shoes,Women's Fashion,"Luxury, Statement Piece",160.0,"Step into luxury with these elegant leather sandals. Featuring the iconic Double-G hardware, they offer a sophisticated and instantly recognizable summer statement."
88,Kids Slip-On Sneakers,Biti’s,Sneakers,Shoes,Kid's Fashion,"Kids Everyday, Casual",38.0,"Effortless style for busy kids. These slip-on sneakers are easy to wear and feature a comfortable canvas design, making them a go-to choice for school and play."
89,Recycled Nylon Windbreaker,Uniqlo,Windbreaker,Outerwear,Men's Fashion,"Core Essential, Sustainable",75.0,"Lightweight protection that's better for the planet. This windbreaker is made from recycled nylon, offering a durable and water-resistant layer for your outdoor pursuits."
90,Vintage Floral Blouse,Zara,Blouse,Shirts,Women's Fashion,"Vintage, Retro/Heritage Style",80.0,"A touch of romantic, retro charm. This blouse features a delicate vintage floral print on a soft, flowing fabric, perfect for a graceful and feminine look."
91,Kids Graphic Hoodie,H&M,Hoodie,Outerwear,Kid's Fashion,"Casual, Kids Everyday",35.0,"The perfect cozy layer for cool days. This soft cotton hoodie features a fun graphic print, making it a comfortable and stylish favorite for any kid."
92,Organic Cotton Sweatshirt,Uniqlo,Sweater,Outerwear,Men's Fashion,"Everyday Essential, Casual",50.0,"A minimalist essential for your casual collection. This sweatshirt is crafted from soft organic cotton, offering a clean look and exceptional comfort for everyday wear."
93,Kids Denim Overalls,Routine,Overalls,Pants,Kid's Fashion,"Casual, Kids Everyday",42.0,"Classic, cute, and built to last. These denim overalls are a fun and durable one-piece solution for playtime, offering a timeless look that never goes out of style."
94,Performance Running Shorts,Nike,Shorts,Pants,Men's Fashion,"Athleisure, Performance",55.0,"Engineered for speed and comfort. These Nike running shorts are made with lightweight, sweat-wicking fabric to help you stay dry and focused on your miles."
95,Recycled Cotton T-shirt,H&M,T-shirt,Shirts,Men's Fashion,"Core Essential, Sustainable",35.0,"A basic tee with a positive impact. Made from soft recycled cotton, this t-shirt offers everyday comfort and a sustainable choice for your core wardrobe."
96,Kids Striped Polo,Routine,Polo Shirt,Shirts,Kid's Fashion,"Casual, Kids Everyday",28.0,"A smart and classic look for your little one. This striped polo is made from comfortable cotton, perfect for family gatherings, school picture day, or a polished everyday style."
97,Double-G Leather Tote Bag,Gucci,Tote Bag,Accessories,Women's Fashion,"Luxury, Statement Piece",200.0,"An icon of luxury and practicality. This tote bag is crafted from fine leather and adorned with the Double-G logo, offering timeless style and ample space for your essentials."
98,Kids Beach Cover-up,H&M,Cover-up,Swimwear,Kid's Fashion,"Seasonal, Summer & Swim",25.0,The perfect piece to throw on over a swimsuit. This lightweight cotton cover-up keeps them comfortable and protected from the sun after a swim.
99,Recycled Swim Shorts,Uniqlo,Swim Shorts,Swimwear,Men's Fashion,"Sustainable, Core Essential",40.0,"Dive in responsibly with these swim shorts made from recycled materials. They're quick-drying, comfortable, and a great sustainable choice for the beach or pool."
100,Vintage Knitwear,Zara,Knitwear,Outerwear,Women's Fashion,"Retro/Heritage Style, Vintage",70.0,"Cozy up with a touch of retro elegance. This vintage-inspired knitwear piece offers warmth and a timeless texture, perfect for layering during cooler seasons."
101,Kids Rash Guard,Routine,Rash Guard,Swimwear,Kid's Fashion,"Summer & Swim, Seasonal",30.0,"Essential sun protection for water fun. This comfortable rash guard provides a protective layer against the sun's rays, perfect for long, happy days at the beach."
102,Organic Cotton Henley,Uniqlo,Henley Shirt,Shirts,Men's Fashion,"Casual, Everyday Essential",40.0,"A relaxed and versatile upgrade from the basic tee. This Henley shirt is made from soft organic cotton, featuring a classic button placket for a touch of timeless style."
103,Kids Graphic Swimsuit,H&M,Swimsuit,Swimwear,Kid's Fashion,"Seasonal, Summer & Swim",35.0,"Let them show off their personality at the pool! This swimsuit features a fun, vibrant graphic and a comfortable fit for endless splashing and swimming."
104,Recycled Fleece Jacket,Uniqlo,Fleece Jacket,Outerwear,Men's Fashion,"Sustainable, Core Essential",65.0,"Ultimate warmth, sustainably sourced. This fleece jacket is made from soft, recycled polyester, providing a cozy and lightweight layer for cold-weather adventures."
105,Vintage Floral Maxi Dress,Zara,Maxi Dress,Dresses,Women's Fashion,"Retro/Heritage Style, Vintage",100.0,"Float through your day in this romantic, vintage-inspired maxi dress. Its delicate floral print and flowing silhouette create an effortlessly elegant and feminine look."
106,Kids Canvas Sneakers,Routine,Sneakers,Shoes,Kid's Fashion,"Casual, Kids Everyday",35.0,"A timeless and versatile shoe for any kid's wardrobe. These classic canvas sneakers are comfortable, durable, and perfect for school, weekends, and everything in between."
107,Recycled Cotton Jeans,H&M,Jeans,Pants,Women's Fashion,"Core Essential, Sustainable",80.0,"Your favorite denim, now more sustainable. These jeans are crafted from recycled cotton, offering the classic style and comfort you love with a smaller environmental footprint."
108,Kids Printed Shorts,Routine,Shorts,Pants,Kid's Fashion,"Kids Everyday, Casual",25.0,"Add a pop of fun to their summer outfits with these printed shorts. Made from soft, breathable cotton, they're perfect for staying cool and stylish on warm days."
109,Organic Cotton Hoodie,Uniqlo,Hoodie,Outerwear,Women's Fashion,"Everyday Essential, Casual",55.0,"The perfect cozy layer for relaxed days. This hoodie is made from soft organic fleece, offering casual comfort and a simple, versatile design for your everyday style."
110,Kids Slip-On Sandals,Biti’s,Sandals,Shoes,Kid's Fashion,"Kids Everyday, Casual",28.0,"Easy to wear and perfect for summer. These slip-on sandals are great for quick trips to the pool or beach, offering comfort and convenience for little feet."
111,Performance Sports Jacket,Nike,Sports Jacket,Outerwear,Men's Fashion,"Athleisure, Performance",85.0,"A sleek and functional layer for your workout. This Nike sports jacket is designed with performance fabric to keep you comfortable while you train, whatever the weather."
112,Recycled Cotton Polo,H&M,Polo Shirt,Shirts,Men's Fashion,"Core Essential, Sustainable",40.0,"Classic style, consciously crafted. This polo shirt is made from recycled cotton, offering a soft feel and a timeless look that's both smart and sustainable."
113,Kids Graphic T-shirt,Routine,T-shirt,Shirts,Kid's Fashion,"Kids Everyday, Casual",25.0,"A comfortable and fun tee that lets their personality shine. Featuring a cool graphic on soft cotton, it's a go-to for school, playdates, and weekend fun."
114,GG Monogram Crop Top,Gucci,Crop Top,Shirts,Women's Fashion,"Luxury, Statement Piece",150.0,"A bold, fashion-forward statement from Gucci. This silk crop top features the iconic GG monogram, perfect for creating a high-end, luxurious look for a seasonal event."
115,GG Silk Wrap Skirt,Gucci,Skirt,Dresses,Women's Fashion,"Luxury, Statement Piece",185.0,"Exude pure luxury with this exquisite silk wrap skirt. The flowing silhouette is adorned with the iconic GG monogram, creating a statement piece of unparalleled elegance."
116,Active Recovery Sneakers,Adidas,Sneakers,Shoes,Men's Fashion,"Athleisure, Performance",95.0,"Designed for post-workout comfort. These sneakers feature a cushioned sole and a breathable mesh upper to help your feet recover, while still looking stylish for everyday wear."
117,GG Monogram Silk Scarf,Gucci,Scarf,Accessories,Women's Fashion,"Luxury, Statement Piece",150.0,"The epitome of luxury accessorizing. This beautiful silk scarf features the signature GG monogram, adding a timeless and sophisticated touch to any ensemble."
118,Uniqlo Hoodie (Sustainable Cotton),Uniqlo,Hoodie,Outerwear,Men's Fashion,"Core Essential, Sustainable",87.0,"A cozy essential for your everyday wardrobe. This hoodie is crafted from soft, sustainable cotton, offering a comfortable fit and a minimalist design for versatile styling."
119,Zara T-shirt (Casual Polyester),Zara,T-shirt,Shirts,Women's Fashion,"Casual, Everyday Essential",140.0,"An easy-to-wear tee for any casual occasion. The lightweight polyester fabric provides a comfortable feel and a vibrant look, making it a versatile wardrobe staple."
120,H&M Jeans (Streetwear Denim),H&M,Jeans,Pants,Kid's Fashion,"Streetwear, Urban Essential",105.0,"Get the perfect streetwear look with these on-trend jeans. Designed with a modern fit and durable denim, they are the ideal base for any cool, casual kid's outfit."
121,Gucci Dress (Luxury/Statement Silk),Gucci,Dress,Dresses,Women's Fashion,"Statement Piece, Luxury",145.0,"A breathtaking expression of high fashion. This luxurious silk dress from Gucci is designed to make a statement, featuring an elegant silhouette and exquisite detailing."
